As Of,Document Create Date,Sales_ID,Material Number,Line Customer Request Date,Delivery Block Item,Delivery Block Description,Quantity Backordered in Base Unit,BackOrderedNetValue_USD,KEY,Rootcause,ETA Full BO,BO Category,Comments
2024-07-31,2024-07-10,ffc2d088-729f,010-VELOCITY-01,2024-07-10,16,,8,17568,PB1256628497,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-07-29,51e9e7b4-a6a0,011-BIOTRACE-PRO,2024-07-29,16,,2,26784,EC2701847690,,,SM,
2024-07-31,2024-07-29,2867910c-5444,010-VELOCITY-01,2024-07-29,16,,2,976,FQ4900864456,,,SM,
2024-07-31,2024-06-13,8ed3706a-cc7d,020-CIDEX-TS-01,2024-06-13,16,,5,1040,IM8623269251,Inventory available to promise/no planning block,,WD,"Inventory available in CO01. CS (Bustos, Alejandra) to remove Block 16 from the orders."
2024-07-31,2024-07-09,9f60699d-2b94,003-100S-01,2024-07-09,16,,19,297920,CC8754714642,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-31,2024-06-12,a15582fc-8ee3,012-BIOTRACE-MINI,2024-06-12,16,,8,10880,WS5298199417,TBD,,SP,TBD
2024-07-31,2024-07-15,4c21e3fe-2e78,003-100S-01,2024-07-15,,ASP Product Allocatn,1,1568,MV1698311892,MTO code,,TS,"Kits are MTO and are being built. Customer Service has been asked to update the sales orders to when the Kits are finished. SO 1100812314 is also blocked by customer service, so MTO process is not followed."
2024-07-31,2024-07-18,e8ab1eb1-e218,001-100NX-01,2024-07-18,16,,2,4908,DE2229078959,,,TS,
2024-07-31,2024-07-26,3c0297e2-7168,002-NX-01,2024-07-26,16,,6,43560,UT1461555639,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-07-31,2024-07-17,46a5f146-64dc,002-NX-01,2024-07-17,16,,8,67760,SI5206733466,0,,SM,0
2024-07-31,2024-07-02,3fd3072b-4b8f,018-ENZOL-01,2024-07-02,16,,7,53200,GW1762516243,Inventory available to promise/no planning block,2024-07-19,SM,No Backorder. 130EA on hand. 
2024-07-31,2024-07-29,47e05147-fa47,020-CIDEX-TS-01,2024-07-29,16,,4,448,VO8290998233,Overconsumption,2024-08-02,SM,"26EA in QA location, pending to release"
2024-07-31,2024-06-19,f1b7cbce-6f35,017-EVOTECH-01,2024-06-19,16,,9,82980,PO6074878486,Inventory available to promise/no planning block,,WD,"Inventory available in CO01. CS (Bustos, Alejandra) to remove Block 16 from the orders."
2024-07-31,2024-07-30,32f0d552-7467,006-TRAYMAT-01,2024-07-30,16,,10,151470,DA9444429737,,,SM,
2024-07-31,2024-07-23,e17353e9-16d7,007-TYVEK-01,2024-07-23,16,,3,9051,ZD7500412769,Other,2024-08-16,WD,"Block 16, Qty 50, pending customs registrastion approval(`7/29)"
2024-07-31,2024-07-16,f8b1e1ed-c4b4,016-AEROFLEX-01,2024-07-15,16,,3,4848,GW0120921808,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-07-10,e9a883ae-c16d,002-NX-01,2024-07-10,16,,1,2420,KO6255037168,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-07-18,e74f7f38-38cb,001-100NX-01,2024-07-18,16,,2,13088,KL2991357827,,,WD,
2024-07-31,2024-07-26,54de18aa-4405,009-CCB-01,2024-07-26,,,2,3846,UG7909004482,,,SM,
2024-07-31,2024-07-04,58963bd5-db24,015-VERISURE-MI,2024-07-04,16,,1,9766,KE1287110217,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-07-26,ebde3243-4cf1,007-TYVEK-01,2024-07-26,16,,1,3879,YO2521068587,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-03-22,3d6c3e43-eb06,007-TYVEK-01,2024-03-22,,,6,15516,NO0341637022,MTO code,2024-08-09,SM,"PO 4500015805. Supplier delay, pending PGR"
2024-07-31,2024-04-05,0c8e8269-0ab1,003-100S-01,2024-04-05,,,3,14112,DG4825967577,0,,SM,0
2024-07-31,2024-07-09,52cfb399-d820,018-ENZOL-01,2024-07-09,16,,2,3800,DN1059625369,Other,2024-07-26,TS,STO 3500086781
2024-07-31,2024-06-13,b5feab72-a6d3,011-BIOTRACE-PRO,2024-06-13,,ASP Product Allocatn,2,8928,PM7337335511,TBD,,SP,TBD
2024-07-31,2024-07-15,da26da6d-333e,004-APTITR-01,2024-07-15,16,,7,33033,WX2055015963,,,TS,
2024-07-31,2024-07-15,0141ace6-dd4a,013-SEALSURE-01,2024-07-15,16,,11,17908,DQ4216735133,,,SM,
2024-07-31,2024-07-25,94af7207-459d,016-AEROFLEX-01,2024-07-25,16,,8,58176,IK2628987569,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-07-31,2024-07-15,edc5b50a-f3df,013-SEALSURE-01,2024-07-15,16,,6,11544,HA6597202733,,,TS,
2024-08-01,2024-06-26,cc8e8133-5456,021-CIDEZYME-01,2024-06-26,16,,10,11550,QJ2105991819,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-07-24,df551964-69a3,010-VELOCITY-01,2024-07-24,16,,2,6344,CE5782693283,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-06-12,6947f231-214a,014-VERISURE-BD,2024-06-12,16,,6,28584,CI5839825906,TBD,,SP,TBD
2024-08-01,2024-07-24,24e86a6e-9237,017-EVOTECH-01,2024-07-23,16,,2,36880,EL8346994460,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-26,5eba213a-bd44,013-SEALSURE-01,2024-07-25,16,,4,4736,FW2990666430,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-07-03,030d06ae-0f66,020-CIDEX-TS-01,2024-07-03,16,,9,1728,SL7364969733,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-07-15,d026b86f-72dd,005-APTITRH-01,2024-07-15,,ASP Product Allocatn,3,585,KA2284539803,MTO code,,TS,"Kits are MTO and are being built. Customer Service has been asked to update the sales orders to when the Kits are finished. SO 1100812314 is also blocked by customer service, so MTO process is not followed."
2024-08-01,2024-07-22,86d241cf-6b20,007-TYVEK-01,2024-07-22,16,,1,862,DB9955418776,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-07-09,36604346-213b,019-CIDEX-01,2024-07-09,,,8,84736,MV7856158104,Supplier Delay,2024-07-31,SM,12 eaches in transit + 39 eaches on hand
2024-08-01,2024-07-29,de816864-6be9,005-APTITRH-01,2024-07-29,16,,15,3900,FU8128393544,TBD,,SM,TBD
2024-08-01,2024-07-12,735025b4-ce5d,001-100NX-01,2024-07-12,,,1,1636,NK3509940335,Supplier Delay,2024-07-31,SM,12 eaches in transit + 39 eaches on hand
2024-08-01,2024-05-29,4e553bae-7f2f,012-BIOTRACE-MINI,2024-05-29,16,,8,13056,HH6596773752,Inventory available to promise/no planning block,,WD,"Inventory available in PA01. CS (Bustos, Alejandra) to remove Block 16 from the orders."
2024-08-01,2024-07-23,20ec3e42-7437,019-CIDEX-01,2024-07-23,16,,1,3972,LO7439293334,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-26,f8459938-eb9d,005-APTITRH-01,2024-07-26,16,,15,2925,DU0995449603,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-12,d673412a-d183,003-100S-01,2024-07-12,16,,1,3136,VJ3244822449,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-04-02,5c6bfda4-1a97,018-ENZOL-01,2024-04-02,,,1,2850,LP8058055101,TBD,2024-05-31,SM,Pinged CS for allocation
2024-08-01,2024-05-07,90163f3a-a90b,019-CIDEX-01,2024-05-07,16,,10,86060,MY5279394567,0,,SM,0
2024-08-01,2024-07-10,1994a214-dd03,010-VELOCITY-01,2024-07-10,,,1,244,CC7651931751,Overconsumption,2024-08-02,SM,"26EA in QA location, pending to release"
2024-08-01,2024-07-09,e311291d-b4db,020-CIDEX-TS-01,2024-07-08,16,,3,432,CY3946457481,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-25,4323e266-f532,001-100NX-01,2024-07-25,16,,2,19632,NA3952058893,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-07-08,37ea0b0a-d6bc,021-CIDEZYME-01,2024-07-08,,,10,16800,DS3643168465,Overconsumption,2024-08-02,SM,"26EA in QA location, pending to release"
2024-08-01,2024-07-09,82018e8a-8247,008-CASSETTE-01,2024-07-09,16,,4,25120,UT8193314196,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-31,148329c6-1a60,017-EVOTECH-01,2024-07-31,,,7,109718,VD2094283435,TBD,,SM,TBD
2024-08-01,2024-07-24,f0388998-753e,021-CIDEZYME-01,2024-07-24,16,,14,22050,JR3593220878,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-24,6f0765f5-830a,014-VERISURE-BD,2024-07-23,16,,2,17468,QD8714922646,Transport Delay,2024-08-07,WD,"Qty 80 - ""Green lighted"" approved-shipped 7/29/24, 105990-01, Del'd 7/31        UPS#: 1Z849AE60442426763, 1Z849AE60442055995,1Z849AE60440186795, needs SAP recp't"
2024-08-01,2024-07-24,5076248c-c351,006-TRAYMAT-01,2024-07-24,16,,4,35640,PK2732486636,Other,2024-09-16,WD,"SO: Block 16, Qty 20, pending shipment-CH01-docs (Green light) approval"
2024-08-01,2024-07-19,00622ba2-37d7,015-VERISURE-MI,2024-07-19,16,,10,61680,ZG7149155077,Supplier Delay,2024-08-02,SM,80 eaches in transit
2024-08-01,2024-05-03,556b7a1c-faf6,008-CASSETTE-01,2024-05-20,16,,5,58875,ZH2051463064,TBD,,SP,TBD
2024-08-01,2024-07-09,5baa3f83-80bd,016-AEROFLEX-01,2024-07-09,16,,8,51712,TA4509349989,Other,2024-09-16,WD,"SO: Block 16, Qty 20, pending shipment-CH01-docs (Green light) approval"
2024-08-01,2024-07-04,f48f5d34-2916,006-TRAYMAT-01,2024-07-04,16,,6,74844,LI6897705463,Supplier Delay,2024-08-02,SM,80 eaches in transit
